                                                                                                                       
{'loss': 91.0151, 'grad_norm': 6.425020217895508, 'learning_rate': 0.00034499999999999993, 'epoch': 6.11}
{'loss': 89.6845, 'grad_norm': 5.022793292999268, 'learning_rate': 0.00034799999999999995, 'epoch': 6.16}
{'loss': 89.9978, 'grad_norm': 5.522801876068115, 'learning_rate': 0.00035099999999999997, 'epoch': 6.22}
{'loss': 90.7123, 'grad_norm': 5.237650394439697, 'learning_rate': 0.00035399999999999993, 'epoch': 6.27}
{'loss': 90.716, 'grad_norm': 5.512126445770264, 'learning_rate': 0.00035699999999999995, 'epoch': 6.32}
{'loss': 90.3897, 'grad_norm': 5.1681036949157715, 'learning_rate': 0.00035999999999999997, 'epoch': 6.38}
{'loss': 90.5556, 'grad_norm': 5.422013282775879, 'learning_rate': 0.00036299999999999993, 'epoch': 6.43}
{'loss': 90.1098, 'grad_norm': 4.972620487213135, 'learning_rate': 0.00036599999999999995, 'epoch': 6.49}
{'loss': 90.2087, 'grad_norm': 5.4158406257629395, 'learning_rate': 0.00036899999999999997, 'epoch': 6.54}
{'loss': 90.3552, 'grad_norm': 5.363674163818359, 'learning_rate': 0.000372, 'epoch': 6.59}
{'loss': 90.1623, 'grad_norm': 5.735862731933594, 'learning_rate': 0.00037499999999999995, 'epoch': 6.65}
{'loss': 90.0613, 'grad_norm': 5.390483856201172, 'learning_rate': 0.00037799999999999997, 'epoch': 6.7}
{'loss': 89.956, 'grad_norm': 5.3469977378845215, 'learning_rate': 0.000381, 'epoch': 6.76}
{'loss': 89.807, 'grad_norm': 5.133194446563721, 'learning_rate': 0.00038399999999999996, 'epoch': 6.81}
{'loss': 89.8345, 'grad_norm': 4.673542022705078, 'learning_rate': 0.000387, 'epoch': 6.86}
{'loss': 89.5077, 'grad_norm': 4.603470802307129, 'learning_rate': 0.00039, 'epoch': 6.92}
{'loss': 88.9676, 'grad_norm': 4.4473724365234375, 'learning_rate': 0.00039299999999999996, 'epoch': 6.97}
{'loss': 44.9475, 'grad_norm': 3.224532127380371, 'learning_rate': 0.000396, 'epoch': 7.0}
{'loss': 86.6947, 'grad_norm': 5.679422378540039, 'learning_rate': 0.000399, 'epoch': 7.05}
{'loss': 87.4598, 'grad_norm': 4.540232181549072, 'learning_rate': 0.000402, 'epoch': 7.11}
{'loss': 87.325, 'grad_norm': 5.338819980621338, 'learning_rate': 0.000405, 'epoch': 7.16}
{'loss': 87.0553, 'grad_norm': 4.902360439300537, 'learning_rate': 0.000408, 'epoch': 7.22}
{'loss': 87.4098, 'grad_norm': 4.776448726654053, 'learning_rate': 0.000411, 'epoch': 7.27}
{'loss': 87.3962, 'grad_norm': 4.9946064949035645, 'learning_rate': 0.0004139999999999999, 'epoch': 7.32}
{'loss': 86.8269, 'grad_norm': 4.681179523468018, 'learning_rate': 0.00041699999999999994, 'epoch': 7.38}
{'loss': 85.745, 'grad_norm': 4.747317790985107, 'learning_rate': 0.00041999999999999996, 'epoch': 7.43}
{'loss': 86.5267, 'grad_norm': 4.784471035003662, 'learning_rate': 0.00042299999999999993, 'epoch': 7.49}
{'loss': 86.8133, 'grad_norm': 4.736753463745117, 'learning_rate': 0.00042599999999999995, 'epoch': 7.54}
{'loss': 87.6861, 'grad_norm': 5.381213665008545, 'learning_rate': 0.00042899999999999997, 'epoch': 7.59}
{'loss': 86.3835, 'grad_norm': 5.279819965362549, 'learning_rate': 0.00043199999999999993, 'epoch': 7.65}
{'loss': 86.2314, 'grad_norm': 4.965578079223633, 'learning_rate': 0.00043499999999999995, 'epoch': 7.7}
{'loss': 86.7249, 'grad_norm': 4.706225395202637, 'learning_rate': 0.00043799999999999997, 'epoch': 7.76}
{'loss': 85.9705, 'grad_norm': 4.5092973709106445, 'learning_rate': 0.00044099999999999993, 'epoch': 7.81}
{'loss': 86.8481, 'grad_norm': 5.197307109832764, 'learning_rate': 0.00044399999999999995, 'epoch': 7.86}
{'loss': 87.1865, 'grad_norm': 4.412841320037842, 'learning_rate': 0.00044699999999999997, 'epoch': 7.92}
{'loss': 86.8344, 'grad_norm': 4.905198574066162, 'learning_rate': 0.00045, 'epoch': 7.97}
{'loss': 42.9545, 'grad_norm': 2.901824474334717, 'learning_rate': 0.00045299999999999995, 'epoch': 8.0}
{'loss': 84.1323, 'grad_norm': 4.828466415405273, 'learning_rate': 0.00045599999999999997, 'epoch': 8.05}
{'loss': 84.3254, 'grad_norm': 5.606567859649658, 'learning_rate': 0.000459, 'epoch': 8.11}
{'loss': 84.9156, 'grad_norm': 4.508025169372559, 'learning_rate': 0.00046199999999999995, 'epoch': 8.16}
{'loss': 83.7937, 'grad_norm': 4.598705768585205, 'learning_rate': 0.00046499999999999997, 'epoch': 8.22}
{'loss': 84.933, 'grad_norm': 5.819141387939453, 'learning_rate': 0.000468, 'epoch': 8.27}
{'loss': 83.9983, 'grad_norm': 4.7003865242004395, 'learning_rate': 0.00047099999999999996, 'epoch': 8.32}
